COMPONENT SECTION,MATERIAL,SIZE,STOCK CODE,STOCK DESCRIPTION,AverageBuyingPrice
Bar material / finish,Bare Hard Drawn Copper Bar,25 x 5,HD2505,BARE HARD DRAWN COPPER BAR 25 X 5MM,7.4544
Bar material / finish,Tinned Hard Drawn Copper Bar,25 x 5,HDT2505,TINNED HARD DRAWN COPPER BAR 25 X 5MM,6.67
Bar material / finish,Bare Hard Drawn Copper Bar,25 x 6,HD2506,BARE HARD DRAWN COPPER BAR 25 X 6MM,10.73703
Bar material / finish,Tinned Hard Drawn Copper Bar,25 x 6,HDT2506,TINNED HARD DRAWN COPPER BAR 25 X 6MM,10.93
Bar material / finish,Bare Hard Drawn Copper Bar,25 x 8,HD2508,BARE HARD DRAWN COPPER BAR 25 X 8MM,15.13
Bar material / finish,Tinned Hard Drawn Copper Bar,25 x 8,HDT2508,TINNED HARD DRAWN COPPER BAR 25 X 8MM,
Bar material / finish,Bare Hard Drawn Copper Bar,250 x 10,HD25010,BARE HARD DRAWN COPPER BAR 250 X 10MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,250 x 10,HDT25010,TINNED HARD DRAWN COPPER BAR 250 X 10MM,
Bar material / finish,Bare Hard Drawn Copper Bar,250 x 12,HD25012,BARE HARD DRAWN COPPER BAR 250 X 12MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,250 x 12,HDT25012,TINNED HARD DRAWN COPPER BAR 250 X 12MM,
Bar material / finish,Bare Hard Drawn Copper Bar,250 x 6,HD25006,BARE HARD DRAWN COPPER BAR 250 X 6MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,250 x 6,HDT25006,TINNED HARD DRAWN COPPER BAR 250 X 6MM,
Bar material / finish,Bare Hard Drawn Copper Bar,250 x 8,HD25008,BARE HARD DRAWN COPPER BAR 250 X 8MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,250 x 8,HDT25008,TINNED HARD DRAWN COPPER BAR 250 X 8MM,
